2025-06-18 23:15:39,553 | run_pipeline | INFO | run_pipeline.py:429 | 🚀 Starting RAG query
2025-06-18 23:15:39,553 | run_pipeline | INFO | run_pipeline.py:430 | ❓ Question: What are the main advantages of modular chemical plants?
2025-06-18 23:15:39,553 | run_pipeline | INFO | run_pipeline.py:431 | 🤖 Model ID: Qwen/Qwen2.5-1.5B-Instruct
2025-06-18 23:15:39,553 | run_pipeline | INFO | run_pipeline.py:432 | 📊 Top K: 5
2025-06-18 23:15:41,077 | httpx | INFO | _client.py:1025 | HTTP Request: GET https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json "HTTP/1.1 200 OK"
2025-06-18 23:15:47,235 | src.pynucleus.llm.dspy_compile | INFO | dspy_compile.py:255 | Compiled program loaded from: data/dspy_artifacts/compiled_program.json
2025-06-18 23:15:47,235 | run_pipeline | INFO | run_pipeline.py:441 | 🎯 Using compiled DSPy program
2025-06-18 23:15:47,235 | src.pynucleus.llm.answer_engine | INFO | answer_engine.py:96 | Configuring DSPy with model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-18 23:15:47,235 | src.pynucleus.llm.answer_engine | INFO | answer_engine.py:126 | Local model detected: Qwen/Qwen2.5-1.5B-Instruct
2025-06-18 23:15:47,235 | src.pynucleus.llm.answer_engine | INFO | answer_engine.py:131 | Attempting LocalDSPyAdapter configuration...
2025-06-18 23:15:47,235 | src.pynucleus.llm.local_dspy_adapter | INFO | local_dspy_adapter.py:78 | Initializing local model: Qwen/Qwen2.5-1.5B-Instruct
2025-06-18 23:15:59,973 | accelerate.big_modeling | WARNING | big_modeling.py:442 | Some parameters are on the meta device because they were offloaded to the disk.
2025-06-18 23:16:00,910 | src.pynucleus.llm.local_dspy_adapter | INFO | local_dspy_adapter.py:127 | ✅ LocalDSPyAdapter successfully configured
2025-06-18 23:16:00,911 | src.pynucleus.llm.answer_engine | INFO | answer_engine.py:139 | ✅ LocalDSPyAdapter configured successfully
2025-06-18 23:16:00,911 | src.pynucleus.llm.answer_engine | INFO | answer_engine.py:140 | Using local DSPy-like structured prompting
